fato;filhosJuntos;tempoJuntos;diaSemana;periodo;idade;possuiProfissao;escolaridade;tipoLocal;qtdRegAnt
AMEACA ;N;8;Segunda-feira;MANHA;36;S;MEDIO;RESIDENCIA;Entre_1_e_3_registros
LESAO CORPORAL DOLOSA , AMEACA ;N;16;Domingo;NOITE;37;S;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
AMEACA ;S;48;Segunda-feira;MANHA;37;N;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
AMEACA , INJURIA , VIAS DE FATO ;N;12;Domingo;TARDE;24;N;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
AMEACA , INJURIA ;S;48;Domingo;NOITE;26;S;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
AMEACA , INJURIA ;S;48;Domingo;TARDE;28;N;FUNDAMENTAL;RESIDENCIA;Mais_que_3_registros
AMEACA ;N;264;Domingo;TARDE;85;N;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
INJURIA REAL ;N;144;Domingo;TARDE;35;S;SUPERIOR;RESIDENCIA;Mais_que_3_registros
AMEACA , INJURIA , VIAS DE FATO ;S;72;Domingo;TARDE;30;N;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
INJURIA ;S;180;Sábado;MANHA;48;S;SUPERIOR;RESIDENCIA;Entre_1_e_3_registros
AMEACA , INJURIA REAL ;S;60;Domingo;MANHA;44;S;FUNDAMENTAL;VIA URBANA;Entre_1_e_3_registros
AMEACA ;S;240;Domingo;MADRUGADA;39;N;FUNDAMENTAL;CONDOMINIO RESIDENCIAL;Mais_que_3_registros
LESAO CORPORAL DOLOSA ;S;96;Domingo;TARDE;30;S;SUPERIOR;RESIDENCIA;Entre_1_e_3_registros
AMEACA ;S;240;Sábado;NOITE;36;N;SUPERIOR;RESIDENCIA;Entre_1_e_3_registros
INJURIA , LESOES CORPORAIS RECIPROCAS ;N;6;Sábado;NOITE;29;N;SUPERIOR;RESIDENCIA;Entre_1_e_3_registros
VIAS DE FATO ;S;108;Sábado;NOITE;42;S;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
AMEACA ;S;96;Sábado;TARDE;25;N;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
AMEACA , INJURIA ;S;4;Sábado;NOITE;33;S;MEDIO;RESIDENCIA;Entre_1_e_3_registros
LESAO CORPORAL DOLOSA , AMEACA , VIAS DE FATO ;N;48;Quinta-feira;NOITE;27;N;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
LESAO CORPORAL DOLOSA , AMEACA , INJURIA ;N;36;Sábado;NOITE;39;N;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
INJURIA ;S;156;Sábado;TARDE;33;N;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
AMEACA ;S;7;Sábado;TARDE;39;S;MEDIO;RESIDENCIA;Entre_1_e_3_registros
AMEACA , INJURIA ;N;36;Quarta-feira;TARDE;20;N;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
AMEACA , INJURIA ;S;60;Sábado;MANHA;28;N;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
LESAO CORPORAL DOLOSA , AMEACA ;S;16;Sábado;MADRUGADA;19;S;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
AMEACA , INJURIA ;N;3;Quinta-feira;TARDE;40;S;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
AMEACA ;S;288;Sexta-feira;MADRUGADA;44;S;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
AMEACA ;S;4;Quarta-feira;TARDE;27;S;SUPERIOR;VIA URBANA;Entre_1_e_3_registros
LESAO CORPORAL DOLOSA , AMEACA ;S;11;Quinta-feira;NOITE;18;N;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
AMEACA , INJURIA ;N;96;Quinta-feira;NOITE;61;S;MEDIO;ASSENTAMENTO RURAL;Entre_1_e_3_registros
INJURIA ;S;84;Quinta-feira;NOITE;36;N;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
INJURIA REAL ;S;84;Quarta-feira;NOITE;26;S;FUNDAMENTAL;COMERCIO;Entre_1_e_3_registros
